item,id,class,sol,symptom
apple fruit,0,Rotten apple,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
apple fruit,1,Fresh apple,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.

banana fruit,0,Rotten Banana,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
banana fruit,1,Fresh Banana,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.

orange fruit,0,Rotten Orange,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
orange fruit,1,Fresh Orange,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.

apple plant,0,Apple scab,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
apple plant,1,Apple Black rot,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
apple plant,2,Apple Cedar apple rust,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
apple plant,3,Apple healthy,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.

cherry plant,0,Cherry healthy,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
cherry plant,1,Cherry Powdery mildew,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.

corn plant,0,Corn Cercospora leaf spot Gray leaf spot,Doctors advice to prevent disease @1. This is solution no. one @2. This is solution no. two @3. This is solution no. three @4. This is solution no. four ,More Symptons @1. This is sympton no. one @2. This is sympton no. two @3. This is sympton no. three @4. This is sympton no. four.
